Senaryo;SpinNo;Bahis;Odenen;CarpanDeger;Bonus;Kategori;SpinTipi
"0. Normal Oyun";1;100;0;0;False;Normal;Normal
"0. Normal Oyun";2;100;50;0;False;Normal;Normal
"0. Normal Oyun";3;100;0;0;False;Normal;Normal
"0. Normal Oyun";4;100;0;0;False;Normal;Normal
"0. Normal Oyun";5;100;900;10;False;MegaWin;Normal
"0. Normal Oyun";6;100;0;0;False;Normal;Normal
"0. Normal Oyun";7;100;0;0;False;Normal;Normal
"0. Normal Oyun";8;100;0;0;False;Normal;Normal
"0. Normal Oyun";9;100;110;0;False;Normal;Normal
"0. Normal Oyun";10;100;0;0;False;Normal;Normal
"0. Normal Oyun";11;100;70;0;False;Normal;Normal
"0. Normal Oyun";12;100;0;0;False;Normal;Normal
"0. Normal Oyun";13;100;240;0;False;BigWin;Normal
"0. Normal Oyun";14;100;0;0;False;Normal;Normal
"0. Normal Oyun";15;100;0;0;False;Normal;Normal
"0. Normal Oyun";16;100;100;0;False;Normal;Normal
"0. Normal Oyun";17;100;190;0;False;Normal;Normal
"0. Normal Oyun";18;100;0;0;False;Normal;Normal
"0. Normal Oyun";19;100;0;0;False;Normal;Normal
"0. Normal Oyun";20;100;0;0;False;Normal;Normal
"0. Normal Oyun";21;100;400;0;True;BigWin;Bonus
"0. Normal Oyun";22;100;0;0;False;Normal;Normal
"0. Normal Oyun";23;100;80;0;False;Normal;Normal
"0. Normal Oyun";24;100;0;0;False;Normal;Normal
"0. Normal Oyun";25;100;0;0;False;Normal;Normal
"0. Normal Oyun";26;100;0;0;False;Normal;Normal
"0. Normal Oyun";27;100;0;0;False;Normal;Normal
"0. Normal Oyun";28;100;60;0;False;Normal;Normal
"0. Normal Oyun";29;100;920;0;True;MegaWin;Bonus
"0. Normal Oyun";30;100;0;0;False;Normal;Normal
"0. Normal Oyun";31;100;520;8;False;MegaWin;Normal
"0. Normal Oyun";32;100;120;2;False;Normal;Normal
"0. Normal Oyun";33;100;0;0;False;Normal;Normal
"0. Normal Oyun";34;100;1040;3;False;MegaWin;Normal
"0. Normal Oyun";35;100;150;0;False;Normal;Normal
"0. Normal Oyun";36;100;30;0;False;Normal;Normal
"0. Normal Oyun";37;100;0;0;False;Normal;Normal
"0. Normal Oyun";38;100;0;0;False;Normal;Normal
"0. Normal Oyun";39;100;60;0;False;Normal;Normal
"0. Normal Oyun";40;100;0;0;False;Normal;Normal
"0. Normal Oyun";41;100;0;0;False;Normal;Normal
"0. Normal Oyun";42;100;220;0;False;BigWin;Normal
"0. Normal Oyun";43;100;0;0;False;Normal;Normal
"0. Normal Oyun";44;100;650;5;False;MegaWin;Normal
"0. Normal Oyun";45;100;60;0;False;Normal;Normal
"0. Normal Oyun";46;100;0;0;False;Normal;Normal
"0. Normal Oyun";47;100;250;5;False;BigWin;Normal
"0. Normal Oyun";48;100;20;0;False;Normal;Normal
"0. Normal Oyun";49;100;0;0;False;Normal;Normal
"0. Normal Oyun";50;100;650;8;False;MegaWin;Normal
"0. Normal Oyun";51;100;0;0;False;Normal;Normal
"0. Normal Oyun";52;100;0;0;False;Normal;Normal
"0. Normal Oyun";53;100;0;0;False;Normal;Normal
"0. Normal Oyun";54;100;0;0;False;Normal;Normal
"0. Normal Oyun";55;100;0;0;False;Normal;Normal
"0. Normal Oyun";56;100;1680;8;False;EpicWin;Normal
"0. Normal Oyun";57;100;0;0;False;Normal;Normal
"0. Normal Oyun";58;100;0;0;False;Normal;Normal
"0. Normal Oyun";59;100;500;10;False;MegaWin;Normal
"0. Normal Oyun";60;100;0;0;False;Normal;Normal
"0. Normal Oyun";61;100;0;0;False;Normal;Normal
"0. Normal Oyun";62;100;0;0;False;Normal;Normal
"0. Normal Oyun";63;100;0;0;False;Normal;Normal
"0. Normal Oyun";64;100;0;0;False;Normal;Normal
"0. Normal Oyun";65;100;0;0;False;Normal;Normal
"0. Normal Oyun";66;100;0;0;False;Normal;Normal
"0. Normal Oyun";67;100;0;0;False;Normal;Normal
"0. Normal Oyun";68;100;0;0;False;Normal;Normal
"0. Normal Oyun";69;100;0;0;False;Normal;Normal
"0. Normal Oyun";70;100;1690;10;False;EpicWin;Normal
"0. Normal Oyun";71;100;180;0;False;Normal;Normal
"0. Normal Oyun";72;100;60;0;False;Normal;Normal
"0. Normal Oyun";73;100;0;0;False;Normal;Normal
"0. Normal Oyun";74;100;0;0;False;Normal;Normal
"0. Normal Oyun";75;100;200;2;False;BigWin;Normal
"0. Normal Oyun";76;100;0;0;False;Normal;Normal
