Senaryo;SpinNo;Bahis;BakiyeOnce;BakiyeSonra;Odenen;Cluster;Tumble;CarpanDeger;CarpanKaynak;Bonus;BonusOdenen;ArdKayipOnce;Kacis;Kategori;SpinTipi;SureMs;ClusterDetay
"0. Normal Oyun";1;100;10000;9900;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";2;100;9900;9800;0;0;0;0;-;False;0;0;False;Normal;Normal;4;"-"
"0. Normal Oyun";3;100;9800;9700;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";4;100;9700;9650;50;2;2;0;-;False;0;0;False;Normal;Normal;0;"S0x9=20TL | S1x8=30TL"
"0. Normal Oyun";5;100;9650;9650;100;2;2;0;-;False;0;0;False;Normal;Normal;0;"S2x8=40TL | S4x8=60TL"
"0. Normal Oyun";6;100;9650;10110;560;1;1;10;DOGAL;False;0;0;False;MegaWin;Normal;1;"S0x8=20TL"
"0. Normal Oyun";7;100;10110;10090;80;2;2;0;-;False;0;0;False;Normal;Normal;0;"S1x8=30TL | S3x8=50TL"
"0. Normal Oyun";8;100;10090;10440;450;1;1;5;DOGAL;False;0;0;False;BigWin;Normal;1;"S1x9=30TL"
"0. Normal Oyun";9;100;10440;10390;50;1;1;0;-;False;0;0;False;Normal;Normal;0;"S3x8=50TL"
"0. Normal Oyun";10;100;10390;10290;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";11;100;10290;10390;200;1;1;5;DOGAL;False;0;0;False;BigWin;Normal;1;"S2x8=40TL"
"0. Normal Oyun";12;100;10390;10290;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";13;100;10290;10190;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";14;100;10190;10090;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";15;100;10090;9990;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";16;100;9990;9890;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";17;100;9890;9830;40;1;1;0;-;False;0;0;False;Normal;Normal;0;"S2x8=40TL"
"0. Normal Oyun";18;100;9830;9730;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";19;100;9730;9630;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";20;100;9630;9530;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";21;100;9530;9430;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";22;100;9430;9330;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";23;100;9330;9230;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";24;100;9230;9130;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";25;100;9130;9080;50;1;1;0;-;False;0;0;False;Normal;Normal;0;"S3x8=50TL"
